pokedexNumber,pokemonName,cardName,setExtra,set,cardNumber,language,note
92,Nebulak,Nebulak,,ASC,123,,Galaxy Foil
93,Alpollo,Alpollo,,PFL,055,,Reverse Holo
94,Gengar,Gengar,BOO23,LOR,66,Englisch,
95,Onix,Onix,,CES,71,,Reverse Holo
96,Traumato,スリープ,,sv1V,38,Japanisch,
97,Hypno,Hypno,,SIT,61,,
98,Krabby,Krabby,,MEW,98,,Reverse Holo
99,Kingler,Kingler,,MEW,99,,
100,Voltobal,Enigmaras Voltobal,PPS7,JTG,047,,Galaxy Holo
101,Lektrobal,Hisui-Lektrobal V,,SP,294,,
102,Owei,Owei,,PAF,23,,
103,Kokowei,Alola-Kokowei-GX,,CIN,74,,
104,Tragosso,Tragosso,,MEW,104,,Reverse Holo
105,Knogga,Alola-Knogga,,JTG,57,,
106,Kicklee,Kicklee,,MEW,106,,Reverse Holo
107,Nockchan,Nockchan,,MEW,107,,Reverse Holo
108,Schlurp,Schlurp,,MEW,108,,
109,Smogon,Smogon,,MEW,109,,Reverse Holo
110,Smogmog,Team Rockets Smogmog,,DRI,199,,
111,Rihorn,Rihorn,,MEW,111,,
112,Rizeros,Rizeros,,MEW,112,,Reverse Holo
113,Chaneira,Chaneira,,MEW,113,,Reverse Holo
114,Tangela,Tangela,,MEG,006,,Reverse Holo
115,Kangama,Kangaskhan,,DRI,204,Englisch,
116,Seeper,Seeper,,MEW,116,,
117,Seemon,Seemon,,PAR,31,,Reverse Holo
118,Goldini,Goldini,,MEW,118,,Reverse Holo
119,Golking,Golking,,MEW,119,,Reverse Holo
120,Sterndu,Sterndu,,BKP,25,,Reverse Holo
121,Starmie,Starmie,,MEW,121,,Reverse Holo
122,Pantimos,Pantimos,,PRC,101,,Reverse Holo
123,Sichlor,Sichlor,,TEF,1,,
124,Rossana,Rossana,,SIT,TG4,,
125,Elektek,Elektek,,TEF,53,,
126,Magmar,Magmar,,BRS,19,,
127,Pinsir,Pinsir,,TWM,168,,
128,Tauros,Paldea-Tauros,,PAF,111,,Shiny
129,Karpador,Karpador,,SVI,44,,
130,Garados,Garados-ex,,SVI,45,,
131,Lapras,Lapras-ex,,SCR,32,,
132,Ditto,Ditto,,CRZ,GG22,,
133,Evoli,Evoli-ex,PPS7,PRE,075,,
134,Aquana,Aquana,,SVP,168,,Holo
135,Blitza,Blitza,PPS7,PRE,030,,
136,Flamara,Flamara,,SVP,167,,Holo
137,Porygon,Porygon,,DRI,153,,
138,Amonitas,Amonitas,,MEW,180,,
139,Amoroso,Amoroso V,,SIT,35,,
140,Kabuto,Kabuto,,MEW,140,,
141,Kabutops,Kabutops,,MEW,141,,
142,Aerodactyl,Aerodactyl V,,LOR,92,Englisch,
143,Relaxo,Relaxo,,SVP,51,,
144,Arktos,フリーザー,,JTG,161,Japanisch,
145,Zapdos,Zapdos-ex,,SVP,49,,
146,Lavados,Team Rockets Lavados-ex,,DRI,31,,
147,Dratini,Dratini,,MEW,147,,Reverse Holo
148,Dragonir,Dragonir,,OBF,158,,
149,Dragoran,Dragoran,PPS4,SIT,131,,
150,Mewtu,Mewtu-ex,,PAR,58,,
151,Mew,Mew-ex,,PAF,216,,
152,Endivie,Endivie,,BKP,1,,
153,Lorblatt,Lorblatt,,NG,29,,
154,Meganie,Meganie,,MEG,010,,Reverse Holo
155,Feurigel,Klarins Feurigel,,DRI,32,,
156,Igelavar,Klarins Igelavar,,DRI,33,,
157,Tornupto,Hisui-Tornupto V,,SP,237,,
158,Karnimani,Totodile,,TEF,39,Englisch,
159,Tyracroc,Tyracroc,,TEF,40,,
160,Impergator,Impergator,PPS5,TEF,41,,
161,Wiesor,Sentret,,JTG,118,Englisch,
162,Wiesenior,Wiesenior,,DAA,136,,
163,Hoothoot,Hoothoot,,ASR,TG12,,
164,Noctuh,Noctuh,PPS7,SCR,115,,
165,Ledyba,Ledyba,,SCR,2,,
166,Ledian,Ledian,,SCR,3,,
167,Webarak,Webarak,,PGO,6,,Reverse Holo
168,Ariados,Ariados,,PGO,7,,Reverse Holo
169,Iksbat,Team Rockets Iksbat-ex,,DRI,122,,
170,Lampi,Lampi,,SCR,48,,
171,Lanturn,Lanturn,,SIT,52,,
172,Pichu,Klarins Pichu,,DRI,71,,Reverse Holo
173,Pii,Pii,,OBF,202,,
174,Fluffeluff,Fluffeluff,,NDI,40,,
175,Togepi,Togepi Lv.4,,GE,88,,
176,Togetic,Togetic,,OBF,84,,
177,Natu,Natu,,ROS,28,,
178,Xatu,Xatu,PPS5,PAR,72,,
179,Voltilamm,Team Rockets Voltilamm,,DRI,72,,Reverse Holo
180,Waaty,Waaty,,SVI,67,,
181,Ampharos,Ampharos,,EVS,56,,Reverse Holo
182,Blubella,Blubella,,OBF,3,,Reverse Holo
183,Marill,Marill,,PAL,44,,
184,Azumarill,Azumarill,,STS,77,,
185,Mogelbaum,Mogelbaum,,PAL,109,,
186,Quaxo,Quaxo,,LOR,32,,
187,Hoppspross,Hoppspross,,PAL,1,,
188,Hubelupf,Hubelupf,,PAL,2,,
189,Papungha,Papungha,,PAL,3,,Reverse Holo
190,Griffel,Aipom,,PAR,145,Englisch,
191,Sonnkern,Sonnkern,,SIT,5,,
192,Sonnflora,Sonnflora,,TWM,7,,
193,Yanma,Yanma,,CRZ,8,,
194,Felino,Paldea-Felino,,PAL,221,,
195,Morlord,Morlord,,NR,48,,
196,Psiana,Psiana-ex,PPS7,PRE,034,,
197,Nachtara,Nachtara-ex,PPS7,PRE,060,,
198,Kramurx,Murkrow,BOO23,PAL,131,Englisch,
199,Laschoking,Laschoking,,SCR,58,,Reverse Holo
200,Traunfugil,Traunfugil,,PFL,035,,Reverse Holo
201,Icognito,Icognoti VSTAR,,SIT,199,,
202,Woingenau,Team Rockets Woingenau,,SVP,203,,
203,Girafarig,Girafarig,,PAL,154,,Reverse Holo
204,Tannza,Tannza,,SVI,1,,
205,Forstellka,Forstellka-ex,,PAL,230,,
206,Dummisel,ノコッチ,,s12a,198,Japanisch,
207,Skorgla,Skorgla,,PFL,49,,Reverse Holo
208,Stahlos,Stahlos,,PGO,44,,Reverse Holo
209,Snubbull,Snubbull,,OBF,87,,Reverse Holo
210,Granbull,Granbull,,PFL,038,,Reverse Holo
211,Baldorfish,Baldorfish,,CRE,101,,Reverse Holo
212,Scherox,Scherox,,OBF,205,,
213,Pottrott,Pottrott,,MEG,011,,
214,Skaraborn,Skaraborn,,SVI,2,,
215,Sniebel,Sniebel,,PAL,133,,
216,Teddiursa,Teddiursa,,EVS,126,,Reverse Holo
217,Ursaring,Ursaring,,EVS,127,,Reverse Holo
218,Schneckmag,Schneckmag,,TEF,28,,
219,Magcargo,Klarins Magcargo,PPS8,DRI,036,,
220,Quiekel,Quiekel,,JTG,165,,
221,Keifel,Keifel,,JTG,78,,Reverse Holo
222,Corasonn,Galar-Corasonn,,RCL,78,,
223,Remoraid,Remoraid,,PAR,33,,
224,Octillery,Octillery,,BRS,TG03,,
225,Botogel,Botogel,,MEG,105,,
226,Mantax,Mantine,,FST,61,,
227,Panzaeron,Panzaeron,,OBF,142,,Reverse Holo
228,Hunduster,Team Rockets Hunduster,,DRI,37,,
229,Hundemon,ヘルガー,,SV1V,18,Japanisch,
230,Seedraking,Seedraking-ex,,SFA,80,,
231,Phanpy,Phanpy,,SIT,91,,
232,Donphan,Donphan,,PAF,49,,
233,Porygon2,Porygon2,,PAR,143,,Reverse Holo
234,Damhirplex,Damhirplex,,ASR,125,,Calendar Holo Promo
235,Farbeagle,Farbeagle,,SIT,TG10,,
236,Rabauz,Rabauz,,MEG,072,,Reverse Holo
237,Kapoera,Hitmontop,,BRS,072,Englisch,
238,Kussilla,Kussilla,,SSP,075,,
239,Elekid,Elekid,,PAR,059,,
240,Magby,Magby,,NG,023,,
241,Miltank,Miltank,,PAR,147,,
242,Heiteira,Heiteira-ex,,TWM,201,,
243,Raikou,Raikou-V,,BRS,048,,
244,Entei,Entei-V,,BRS,022,,
245,Suicune,Suicune,,PRE,024,,Reverse Holo
246,Larvitar,Team Rockets Larvitar,,DRI,094,,
247,Pupitar,Pupitar,,PAL,111,,
248,Despotar,Despotar-ex,,OBF,211,,
249,Lugia,Lugia VSTAR,,SIT,139,,
250,Ho-oh,Klarins Ho-Oh-ex,PPS7,DRI,039,,
251,Celebi,Celebi,,SHF,003,,Reverse Holo
252,Geckarbor,Geckarbor Lv.11,,STF,079,,
253,Reptain,Reptain Lv.23,,STF,039,,
254,Gewaldro,Gewaldro Lv.57,,AR,030,,
255,Flemmli,Flemmli,,CES,026,,Reverse Holo
256,Jungglut,Combusken,,JTG,023,Englisch,
257,Lohgock,Lohgock-ex,,JTG,024,,
258,Hydropi,Mudkip,,CG,058,,
259,Moorabbel,Moorabbel,,FST,063,,
260,Sumpex,ラグラージ,,S6A,021,Japanisch,
261,Fiffyen,Fiffyen,,TEF,105,,
262,Magnayen,Mightyena,,ASR,TG09,Englisch,
263,Zigzachs,Zigzachs,,PFL,081,,Reverse Holo
264,Geradaks,Geradaks,,OBF,168,,Reverse Holo
265,Waumpel,Waumpel,,LOR,006,,
266,Schaloko,Schaloko Lv.8,,DP,063,,
267,Papinella,Papinella,,LOR,008,,Reverse Holo
268,Panekon,Panekon,,LOR,009,,
269,Pudox,Pudox,,ROS,008,,
270,Loturzel,Loturzel,,JTG,035,,
271,Lombrero,Lombrero,,RCL,008,,
272,Kappalores,Kappalores,,PFL,007,,Reverse Holo
273,Samurzel,Samurzel,,TEF,003,,
274,Blanas,Blanas,,TEF,004,,
275,Tengulist,Tengulist,,TEF,005,,
276,Schwalbini,Schwalbini,,DRI,156,,
277,Schwalboss,Schwalboss,,VIV,134,,
278,Wingull,Wingull,,PAL,158,,
279,Pelipper,Pelipper,,PAL,159,,
280,Trasla,Trasla,,MEG,058,,Cosmo Holo
281,Kirlia,Kirlia,PPS4,SIT,068,,
282,Guardevoir,Guardevoir,,SIT,TG05,,
283,Gehweiher,Gehweier,,OBF,006,,
284,Maskeregen,Maskeregen,,PAR,002,,
285,Knilz,Knilz,,TEF,006,,
286,Kapilz,Kapilz,,SVI,004,,
287,Bummelz,Bummelz,,PAL,160,,
288,Muntier,Muntier,,PAL,161,,
289,Letarking,Letarking-ex,,SSP,147,,
290,Nincada,Nincada,,DX,067,,
291,Ninjask,Ninjask,,MEG,137,,
292,Ninjatom,Ninjatom,,MEG,144,,
293,Flurmel,Flurmel,,PAR,148,,
294,Krakeelo,Krakeelo,,PAR,149,,
295,Krawumms,Krawumms,,PAR,150,,
296,Makuhita,Makuhita,,PAL,112,,
297,Hariyama,Hariyama,,PAL,113,,
298,Azurill,Azurill,,CEC,146,,
299,Nasgnet,Nasgnet,,OBF,107,,Reverse Holo
300,Eneco,Eneco,,TEF,130,,
301,Enekoro,Delcatty,,FST,211,Englisch,
302,Zobiris,Zobiris,,LOR,070,,
303,Flunkifer,Flunkifer VSTAR,,SIT,071,,
304,Stollunior,Team Magmas Stollunior,,MA,058,,
305,Stollrak,Stollrak,,TWM,121,,
306,Stolloss,Stolloss,,TWM,122,,
307,Meditie,Meditie,,SIT,072,,
308,Meditalis,Meditalis-ex,,SCR,161,,
309,Frizelbliz,Frizelbliz,,CES,051,,
310,Voltenso,Voltenso,,DRI,076,,
311,Plusle,Plusle,,PAR,060,,
312,Minun,Minun,,PAR,061,,
313,Volbeat,Volbeat,,TWM,009,,
314,Illumise,Illumise,,TWM,010,,
315,Roselia,Roselia,,TEF,008,,
316,Schluppuck,Schluppuck Lv.21,,AR,040,,
317,Schlukwech,Schlukwech,,SCR,092,,
318,Kanivanha,Kanivanha,,PFL,060,,
319,Tohaido,Mega Sharpedo ex,,PFL,113,Englisch,
320,Wailmer,Wailmer,,JTG,040,,Reverse Holo
321,Wailord,Wailord,,JTG,041,,
322,Camaub,Camaub,,ASC,223,,
323,Camerupt,Camerupt,,PAF,012,,
324,Qurtel,Qurtel,,SVI,035,,
325,Spoink,Spoink,,FCO,030,,
326,Groink,Groink,,OBF,091,,
327,Pandir,Pandir,,PAR,151,,
328,Knacklion,Knacklion,,SSP,104,,
329,Vibrava,Vibrava,,PFL,052,,
330,Libelldra,Libelldra-ex,,SSP,222,,
331,Tuska,Tuska,,SVI,005,,
332,Noktuska,Noktuska,,SVI,006,,
333,Wablu,Wablu,,CRZ,GG27,,
334,Altaria,Altaria,,SIT,TG11,,
335,Sengo,Sengo,,SVI,147,,Reverse Holo
336,Vipitis,Vipitis,,SVI,128,,Reverse Holo
337,Lunastein,ルナトーン,,S12A,184,Japanisch,
338,Sonnfel,Sonnfel,,CRZ,GG15,,
339,Schmerbe,Schmerbe,,PAF,050,,
340,Welsar,Welsar,,OBF,109,,
341,Krebscorps,Krebscorps,,TWM,047,,
342,Krebutack,Krebutack,,TWM,048,,
343,Puppance,Team Magmas Puppance,,MA,060,,
344,Lepumentas,Lepumentas,,OBF,095,,
345,Liliep,Liliep,,SCR,145,,
346,Wielie,Wielie,,SCR,006,,
347,Anorith,Anorith,,SIT,095,,
348,Armaldo,Armaldo,,SIT,096,,
349,Barschwa,Barschwa,,SSP,041,,Reverse Holo
350,Milotic,Milotic-ex,,SSP,042,,
351,Formeo,Formeo Regenform,,CRE,033,,Reverse Holo
352,Kecleon,Kecleon,,CRE,122,,
353,Shuppet,Shuppet,BOO,SVI,087,englisch,
354,Banette,Banette-ex,,SVI,088,,
355,Zwirrlicht,Duskull,BOO,VIV,069,englisch,
356,Zwirrklop,Zwirrklop,PPS7,SFA,019,,
357,Tropius,Tropius,,PAL,195,,
358,Palimpalim,Chimecho,,TWM,179,,
359,Absol,Absol-ex,,OBF,214,,
360,Isso,Isso,,UNM,077,,
361,Schneppke,Schneppke,,TWM,051,,
362,Firnontor,Firnontor,,SIT,042,,
363,Seemops,Seemops,,SSP,043,,
364,Seejong,Seejong,,SSP,044,,Reverse Holo
365,Walraisa,Walraisa,,SSP,045,,
366,Perlu,Perlu,,FST,065,,Reverse Holo
367,Aalabyss,Aalabyss,,FST,066,,
368,Saganabyss,Saganabyss,,FST,067,,
369,Relicanth,Relicanth,,TEF,084,,
370,Liebiskus,Liebiskus,,PAL,047,,
371,Kindwurm,Kindwurm,,CES,104,,Reverse Holo
372,Draschel,Draschel,,EVS,108,,Reverse Holo
373,Brutalanda,Brutalanda,,EVS,109,,Reverse Holo
374,Tanhel,Troys Tanhel,,DRI,143,,
375,Metang,Metang,PPS6,TEF,114,,Cosmo Holo
376,Metagross,Troys Metagross-ex,,DRI,145,,
377,Regirock,Regirock-ex,,DRI,214,,
378,Regice,Regice,PPS3,ASR,037,,
379,Registeel,Registeel,,SSP,125,,
380,Latias,Latias-ex,,SSP,220,,
381,Latios,Latios,PPS_,MEG,101,,Cosmo Holo
382,Kyogre,Kyogre,PPS4,CRZ,036,,Cosmo Holo
383,Groudon,Groudon,PPS5,PAR,093,,
384,Rayquaza,Rayquaza VMAX,,SIT,TG29,,
385,Jirachi,Jirachi,PPS5,PAR,126,,Cosmo Holo
386,Deoxys,Deoxys,,FST,120,,
387,Chelast,Chelast,,UPR,006,,Reverse Holo
388,Chelcarain,Chelcarain,,TEF,011,,
389,Chelterrar,Chelterrar-ex,,TEF,185,,
390,Panflam,Panflam,,TWM,031,,
391,Panpyro,Panpyro,,BRS,025,,Reverse Holo
392,Panferno,Panferno,,TWM,033,,
393,Plinfa,Plinfa,,PFL,027,,Reverse Holo
394,Pliprin,Pliprin Lv.20,,DP,058,,
395,Impoleon,Impoleon-ex,,PFL,114,,
396,Staralili,Staralili,,SVI,148,,Reverse Holo
397,Staravia,Staravia,,SVI,149,,Reverse Holo
398,Staraptor,Staraptor,,SVI,150,,
399,Bidiza,Bidiza,,CRZ,111,,
400,Bidifas,Bidifas,,CRZ,GG25,,
401,Zirpurze,Zirpurze,,CRZ,010,,
402,Zirpeise,Zirpeise,,CRZ,GG02,,
403,Sheinux,Sheinux,,PAL,068,,
404,Luxio,Luxio,,BRS,050,,
405,Luxtra,Luxtra V,,ASR,050,,
406,Knospi,Knospi,,PRE,004,,
407,Roserade,Cynthias Roserade,PPS8,DRI,008,,Cosmo Foil
408,Koknodon,Koknodon,,UPR,064,,
409,Rameidon,Rameidon,,ASR,077,,
410,Schilterus,Schilterus,,ASR,109,,
411,Bollterus,Bollterus Lv.56,,PL,020,,Reverse Holo
412,Burmy,Burmy,,BRS,009,,Reverse Holo
413,Burmadame,Burmadame,,BRS,077,,
414,Moterpel,Moterpel,,BRS,011,,Reverse Holo
415,Wadribie,Wadribie,,PAL,008,,
416,Honweisel,Honweisel-ex,,OBF,212,,
417,Pachirisu,Pachirisu,,MEG,051,,Reverse Holo
418,Bamelin,Bamelin,,OBF,048,,
419,Bojelin,Bojelin,,SVI,047,,Reverse Holo
420,Kikugi,Kikugi,,CRZ,011,,
421,Kinoso,Kinoso Lv. 30,,STF,014,,Reverse Holo
422,Schalellos,Schalellos,,SSP,046,,Reverse Holo
423,Gastrodon,Gastrodon,PPS7,SSP,107,,
424,Ambidiffel,Ambidiffel,,PFL,079,,Reverse Holo
425,Driftlon,Driftlon,PPS4,SVI,089,,
426,Drifzepeli,Drifzepeli,,SVP,135,,
427,Haspiror,Buneary,,MEG,107,,Reverse Holo
428,Schlapor,Schlapor,,SIT,145,,
429,Traunmagil,Traunmagil-ex,,PFL,036,,
430,Kramshef,Kramshef,,PFL,058,,Reverse Holo
431,Charmian,Charmian,,SCR,116,,
432,Shnurgast,Shnurgast,,SCR,117,,
433,Klingplim,Team Rockets Klingplim,,DRI,085,,
434,Skunkapuh,Skunkapuh Lv.18,,STF,076,,
435,Skuntank,Skuntank V,,SIT,108,,
436,Bronzel,Bronzel,,TEF,068,,
437,Bronzong,Bronzong,,OBF,145,,
438,Mobai,Mobai,,OBF,110,,Reverse Holo
439,Pantimimi,Pantimimi,,PAF,031,,Reverse Holo
440,Wonneira,Wonneira Lv.5,,PL,076,,
441,Plaudagei,Plaudagei,,TEF,181,,
442,Kryppuk,Kryppuk,,SVI,129,,
443,Kaumalat,Kaumalat,,PAR,094,,
444,Knarksel,Cynthias Knarksel,PPS8,DRI,103,,
445,Knakrack,Knakrack-ex,PPS5,PAR,038,,
446,Mampfaxo,Mampfaxo Lv.7,,MD,068,,(mit Schneeflocke)
447,Riolu,Riolu,,MEG,076,,Cosmo Holo
448,Lucario,Mega-Lucario ex,,MEG,077,,
449,Hippopotas,Hippopotas Lv.23,,DP,051,,
450,Hippoterus,Hippoterus,,PRE,053,,Pokéball Reverse Holo
451,Pionskora,Pionskora,,TM,076,,
452,Piondragi,Piondragi V,,LOR,118,,
453,Glibunkel,Glibunkel,,PAL,114,,
454,Toxiquak,Toxiquak-ex,,SVI,232,,
455,Venuflibis,Venuflibis,,SCR,007,,Reverse Holo
456,Finneon,Finneon,,LOR,040,,
457,Lumineon,Luminoen V,,BRS,040,,
458,Mantirps,Mantirps,,PAR,039,,
459,Shnebedeck,Shnebedeck,,PAL,010,,
460,Rexblisar,Mega-Rexblisar ex,PPS8,MEG,036,,
461,Snibunna,Weavile,,SFA,014,Englisch ,
462,Magnezone,Magnezone-ex,,SVI,065,,
463,Schlurplek,Schlurplek,,TEF,125,,
464,Rihornior,Rihornior,,SCR,076,,
465,Tangoloss,Tangoloss,,TWM,002,,
466,Elevoltek,Elevoltek,,TEF,054,,
467,Magbrant,Magbrant,,PAF,010,,
468,Togekiss,Togekiss,,OBF,085,,
469,Yanmega,Yanmega-ex ,,DRI,206,,
470,Folipurba,Folipurba-ex,PPS7,PRE,006,,
471,Glaziola,Glaziola-ex,PPS7,PRE,026,,
472,Skorgro,Skorgro,,PAR,092,,Reverse Holo
473,Mamutel,Mamutel-ex,,JTG,174,,
474,Porygon,Porygon-Z,,LOR,142,,Reverse Holo
475,Galagladi,Galagladi,PPS3,ASR,062,,
476,Voluminas,Voluminas,,OBF,146,,
477,Zwirrfinst,Zwirrfinst,PPS7,SFA,020,,Galaxy Holo
478,Frosdedje,Frosdedje,PPS6,TWM,053,,
479,Rotom,Rotom V,,LOR,058,,
480,Selfe,Selfe,,ASR,065,,
481,Vesprit,Vesprit,,SSP,079,,Reverse Holo
482,Tobutz,Tobutz,,ASR,067,,
483,Dialga,Origin Forme Dialga V,,SWSH,255,Englisch,
484,Palkia,Ur-Palkia VSTAR,,ASR,040,,
485,Heatran,Heatran,PPS6,TWM,123,,Cosmo Holo
486,Regigigas,Regigigas,PPS7,PRE,086,,
487,Giratina,Giratina VSTAR,PPS4,LOR,131,,
488,Cresselia,Cresselia,,SFA,021,,
489,Phione,Phione,,TWM,055,,Reverse Holo
490,Manaphy,Manaphy,,CRZ,GG06,,
491,Darkrai,Darkrai,,OBF,136,,
492,Shaymin,Shaymin,,DRI,010,,
493,Arceus,Arceus VSTAR,,SWSH,307,,
494,Victini,Victini,,SIT,023,,
495,Serpifeu,Serpifeu,,BLK,001,,
496,Efoserp,Efoserp,,BLK,002,,
497,Serpiroyal,Serpiroyal VSTAR,,SIT,008,,
498,Floink,Floink,,WHT,011,,
499,Ferkokel,Ferkokel,,WHT,012,,
500,Flambirex,Flambirex,PPS_,WHT,013,,Cosmo Foil
501,Ottaro,Oshawott,,ASR,041,Englisch,
502,Zwottronin,Dewott,,ASR,042,Englisch,
503,Admurai,Hisui-Admurai,,ASR,100,,
504,Nagelotz,Nagelotz,,WHT,072,,
505,Kukmarda,Kukmarda,,WHT,073,,Pokéball Reverse Holo
506,Yorkleff,Yorkleff,,OBF,170,,
507,Terribark,Terribark,,OBF,171,,
508,Bissbark,Bissbark,,WHT,076,,Pokéball Reverse Holo
509,Felilou,Marys Felilou,,DRI,130,,
510,Kleoparda,Kleoparda,,WHT,056,,Pokéball Reverse Holo
511,Vegimak,Vegimak,,PAR,004,,
512,Vegichita,Vegichita,,FST,008,,
513,Grillmak,Grillmak,,PAR,020,,
514,Grillchita,Grillchita,,PAR,021,,
515,Sodamak,Sodamak,,PAR,041,,Reverse Holo
516,Sodachita,Sodachita,,PAR,042,,
517,Somniam,Somniam,,FST,121,,
518,Somnivora,Somnivora,,FST,FST,,
519,Dusselgurr,Dusselgurr,,PGO,061,,Reverse Holo
520,Navitaub,Navitaub,,PGO,062,,Reverse Holo
521,Fasasnob,Unfezant,,PGO,063,Englisch,
522,Elezeba,Blitzle,,PAR,062,Englisch,
523,Zebritz,Zebritz,,PAR,063,,
524,Kiesling,Roggenrola,,EVS,086,,Reverse Holo
525,Sedimantur,Sedimantur,,SUM,070,,Reverse Holo
526,Brockoloss,Brockoloss,,EVS,088,,Reverse Holo
527,Fleknoil,Fleknoil,,WHT,036,,Pokéball Reverse Holo
528,Fletiamo,Fletiamo,,PAF,033,,
529,Rotomurf,Rotomurf,PPS7,TEF,085,,Galaxy Holo
530,Stalobor,Stalobor,,OBF,147,,
531,Ohrdoch,Ohrdoch,,OBF,173,,Reverse Holo
532,Praktibalk,Praktibalk,,TWM,183,,
533,Strepoli,Strepoli,,TWM,104,,
